browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,mindsCode,batchID,participant,batch_id,link,duration_s
Safari,26.6.1,375,812,iOS,de-DE,2026-09-15_19:37:31,2026-09-15_21:37:31,2026-09-15_17:52:16,M709062,TYYZGZ-02,M709062,TYYZGZ-02,https://www.testable.org/experiment/21489/996939/start?participant=M709062&batch_id=TYYZGZ-02,6759.908

rowNo,label,type,head,responseType,pageBreak,stim1,stimFormat,responseOptions,if,then,required,timestamp,response,RT,RTkeys,responseCode
"2",Q1,test,"",box,before,Preliminary question 1/2 <br> What is your age in years?,word,"pattern:""[0-9]+""",response < 30,screenout,"",19751,"41",15099,3474;3927,""
"3",Q2,test,Preliminary question 2/2,box,before,Preliminary question 2/2 <br> How many cigarettes do you smoke per day?,word,"pattern:""[0-9]+""",response < 10,screenout,"",25028,"12",5249,3686;4068,""
"16","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",71170,"74",4692,"","74"
"18","",test,"",box,"",What did you do during the break? (optional),word,"","","","",376846,Read,4869,3067;3290;3596;3827,""
"25","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",392551,"59",3048,"","59"
"27","",test,"",box,"",What did you do during the break? (optional),word,"","","","",698277,Smoking,4663,2060;2281;2583;2803;3022;3274;3415,""
"39","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",734478,"58",2873,"","58"
"41","",test,"",box,"",What did you do during the break? (optional),word,"","","","",1040670,Read,5173,2894;3055;3296;3533,""
"48","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",1059285,"60",2681,"","60"
"50","",test,"",box,"",What did you do during the break? (optional),word,"","","","",1370791,Laundry,10653,1862;2233;2631;2842;3303;3462;6151;8066;8514;8783;9180;9361;9631,""
"62","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",1404823,"65",2345,"","65"
"71","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",1719483,"61",2652,"","61"
"73","",test,"",box,"",What did you do during the break? (optional),word,"","","","",2049515,Read,7290,2370;2565;2801;3056,""
"85","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",2083997,"34",2363,"","34"
"87","",test,"",box,"",What did you do during the break? (optional),word,"","","","",2430811,Read,5508,2179;2378;2619;2833,""
"94","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",2447153,"59",2216,"","59"
"96","",test,"",box,"",What did you do during the break? (optional),word,"","","","",2846602,Read,4760,2081;2248;2507;2755,""
"108","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",2882011,"55",3023,"","55"
"110","",test,"",box,"",What did you do during the break? (optional),word,"","","","",3204345,Read,3385,2335;2515;2763;2976,""
"117","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",3217038,"35",2452,"","35"
"119","",test,"",box,"",What did you do during the break? (optional),word,"","","","",3563794,Read,7465,3073;5955;6148;6403;6639,""
"131","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",3598098,"33",2038,"","33"
"133","",test,"",box,"",What did you do during the break? (optional),word,"","","","",3906584,Read,7572,4091;4279;4504;4739,""
"140","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",3920563,"35",2323,"","35"
"142","",test,"",box,"",What did you do during the break? (optional),word,"","","","",4328770,Read,5609,1941;2152;2370;2569,""
"154","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",4363298,"25",2371,"","25"
"156","",test,"",box,"",What did you do during the break? (optional),word,"","","","",4687563,Watching a movie,10704,2368;2606;2926;3195;3432;3684;3916;4280;4560;6365;6580;6949;7178;7695;8033;8411;8662;9196;9480;9978,""
