browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,mindsCode,batchID,participant,batch_id,link,duration_s
Chrome,153.0.0.0,1366,768,Windows,en-ZA,2026-09-15_19:37:18,2026-09-15_21:37:18,2026-09-15_17:52:16,M256416,TYYZGZ-02,M256416,TYYZGZ-02,https://www.testable.org/experiment/21489/996939/start?participant=M256416&batch_id=TYYZGZ-02,7119.238

rowNo,label,type,head,responseType,pageBreak,stim1,stimFormat,responseOptions,if,then,required,timestamp,response,RT,RTkeys,responseCode
"2",Q1,test,"",box,before,Preliminary question 1/2 <br> What is your age in years?,word,"pattern:""[0-9]+""",response < 30,screenout,"",19002,"32",10793,5086;5284,""
"3",Q2,test,Preliminary question 2/2,box,before,Preliminary question 2/2 <br> How many cigarettes do you smoke per day?,word,"pattern:""[0-9]+""",response < 10,screenout,"",36506,"16",17494,15599;15854,""
"16","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",159005,"40",7427,"","40"
"18","",test,"",box,"",What did you do during the break? (optional),word,"","","","",482402,browsed social media while chewing gum,22733,6078;6150;6393;6545;6801;7033;7989;8329;13033;13133;13377;13533;13845;14053;14477;14653;15037;15313;15541;15817;16001;16161;16349;16557;16637;16917;17093;17237;17325;17557;17729;17997;18209;18313;18421;18669;18813;19445;19677;19873;20065;20285;20437;20605;20789;21077,""
"25","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",518644,"50",9398,"","50"
"27","",test,"",box,"",What did you do during the break? (optional),word,"","","","",829822,browsed social media,10214,3679;3806;4042;4214;4446;4678;4874;5034;6206;6386;6682;6806;7062;7182;7390;7626;7726;8314;8622;8726;8878;8990,""
"39","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",877829,"60",6478,"","60"
"41","",test,"",box,"",What did you do during the break? (optional),word,"","","","",1220702,Drank something and paced around,41988,32568;32807;32991;33379;33559;33684;33772;33888;34148;34268;34520;34708;34915;35084;35324;35435;35516;35708;35932;36072;37572;37708;38011;38124;38779;38947;39148;39940;40108;40355;40959;41151,""
"48","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",1267504,"58",9430,"","58"
"50","",test,"",box,"",What did you do during the break? (optional),word,"","","","",1602802,Played a mobile game,34566,28294;28566;28726;28914;29118;29334;29446;29674;29802;30006;30270;30638;30874;31150;31266;31502;32126;32306;33550;33670,""
"62","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",1656542,"68",4767,"","68"
"71","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",2010033,"51",8101,"","51"
"73","",test,"",box,"",What did you do during the break? (optional),word,"","","","",2318006,played mobile game,7042,2595;2810;2966;3250;3426;3626;3714;3942;4154;4422;4658;4914;5054;5158;5494;5610;5814;5950,""
"85","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",2374522,"57",7884,"","57"
"87","",test,"",box,"",What did you do during the break? (optional),word,"","","","",2684322,played a mobile game,9118,4659;4806;5098;5298;5578;5798;5914;6086;6174;6374;6578;6846;7026;7286;7398;7554;7838;7926;8118;8210,""
"94","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",2718880,"64",6618,"","64"
"96","",test,"",box,"",What did you do during the break? (optional),word,"","","","",3044105,Played mobile game,24561,19433;19689;19829;20069;20505;20705;20829;21429;21633;22021;22249;22505;22633;23133;23805;23929;24141;24253,""
"108","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",3097254,"65",7184,"","65"
"110","",test,"",box,"",What did you do during the break? (optional),word,"","","","",3404747,Browsed social media,6878,1422;1833;1953;2197;2409;2665;2913;3077;3517;3693;3953;4149;4365;4510;4745;4921;5057;5305;5445;5633,""
"117","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",3446714,"72",4391,"","72"
"119","",test,"",box,"",What did you do during the break? (optional),word,"","","","",3755737,played a game,8031,4260;4415;4747;4947;5095;5307;5455;5575;5703;6067;6223;6435;6607,""
"131","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",3814302,"71",6501,"","71"
"133","",test,"",box,"",What did you do during the break? (optional),word,"","","","",4123561,browsed social media,8281,3310;3454;3737;3890;4382;4613;4838;5002;5182;5390;5690;5806;6013;6142;6306;6514;6634;6902;7058;7213,""
"140","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",4159198,"70",7015,"","70"
"142","",test,"",box,"",What did you do during the break? (optional),word,"","","","",4528134,played solitair,12099,4047;4231;4707;4855;5087;5287;5442;5571;5719;6227;6311;8363;8767;9495;9715;9951;10259;10399;10615;10875,""
"154","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",4578424,"77",8409,"","77"
"156","",test,"",box,"",What did you do during the break? (optional),word,"","","","",4910945,browsed social media,10501,3442;3561;3862;4098;4470;4722;5170;5370;7686;7821;8130;8305;8590;8718;9166;9414;9574;9861;10026;10210,""
"163","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",4940706,"75",4590,"","75"
"165","",test,"",box,"",What did you do during the break? (optional),word,"","","","",5278613,browsed social media,17509,3517;5653;6197;6517;11389;11516;11809;12761;13445;13705;13957;14465;14753;15137;15449;15645;15845;15997;16229;16457;16645;16904;17029;17217,""
"177","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",5331480,"79",6272,"","79"
"179","",test,"",box,"",What did you do during the break? (optional),word,"","","","",5641765,made coffee,6965,4793;4933;5217;5433;5601;5796;5972;6177;6340;6561;6729,""
"186","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",5668936,"82",5875,"","82"
"188","",test,"",box,"",What did you do during the break? (optional),word,"","","","",6005125,played a game,9700,4925;5172;5325;7024;7276;7416;7644;7792;8000;8160;8340;8492;8900;9016;9224;9316,""
"200","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",6051999,"86",5238,"","86"
"202","",test,"",box,"",What did you do during the break? (optional),word,"","","","",6374478,scrolled social media,21679,16092;16422;16683;17038;17254;17402;17498;17742;17862;18062;18350;18614;18770;18950;19075;19710;19890;19950;20706;20854;21018,""
"209","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",6413768,"86",3783,"","86"
"211","",test,"",box,"",What did you do during the break? (optional),word,"","","","",6723293,washed dishes,8804,1673;1760;2012;2152;2352;2588;2708;6036;6184;6412;6852;6964;7216;8576,""
"223","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",6776659,"84",3320,"","84"
"225","",test,"",box,"",What did you do during the break? (optional),word,"","","","",7087357,Replied to email and messages,10142,2834;3042;3435;3642;3890;4034;4266;4370;4650;4910;5010;5726;5891;6718;6826;7042;7162;7318;7490;7678;7762;8222;8322;8590;8722;8922;9042;9190;9418,""
"232","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",7119238,"93",9233,"","93"
