browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,mindsCode,batchID,participant,batch_id,link,duration_s
Chrome,152.0.0.0,384,832,Android,en-US,2026-09-15_19:48:27,2026-09-16_03:48:27,2026-09-15_17:52:16,M091494,TYYZGZ-02,M091494,TYYZGZ-02,https://www.testable.org/experiment/21489/996939/start?participant=M091494&batch_id=TYYZGZ-02,7098.451

rowNo,label,type,head,responseType,pageBreak,stim1,stimFormat,responseOptions,if,then,required,timestamp,response,RT,RTkeys,responseCode
"2",Q1,test,"",box,before,Preliminary question 1/2 <br> What is your age in years?,word,"pattern:""[0-9]+""",response < 30,screenout,"",11081,"36",6525,"",""
"3",Q2,test,Preliminary question 2/2,box,before,Preliminary question 2/2 <br> How many cigarettes do you smoke per day?,word,"pattern:""[0-9]+""",response < 10,screenout,"",21402,"12",10307,"",""
"16","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",619539,"70",9483,"","70"
"18","",test,"",box,"",What did you do during the break? (optional),word,"","","","",929341,Smoke,8035,"",""
"25","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",964796,"70",4378,"","70"
"27","",test,"",box,"",What did you do during the break? (optional),word,"","","","",1276312,Scrolling phone,10701,"",""
"39","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",1318697,"50",5557,"","50"
"41","",test,"",box,"",What did you do during the break? (optional),word,"","","","",1626918,Watching facebook reels,7417,"",""
"48","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",1656701,"53",3114,"","53"
"50","",test,"",box,"",What did you do during the break? (optional),word,"","","","",1964654,Watching facebook reels,6984,"",""
"62","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",2004037,"70",3329,"","70"
"71","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",2342248,"39",4181,"","39"
"73","",test,"",box,"",What did you do during the break? (optional),word,"","","","",2650379,Cr break,7459,"",""
"85","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",2687986,"61",4009,"","61"
"87","",test,"",box,"",What did you do during the break? (optional),word,"","","","",2994929,None,6320,"3370",""
"94","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",3020469,"24",2521,"","24"
"96","",test,"",box,"",What did you do during the break? (optional),word,"","","","",3325268,Watched reels,3963,"",""
"108","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",3362442,"57",2758,"","57"
"110","",test,"",box,"",What did you do during the break? (optional),word,"","","","",3667828,None,4688,"",""
"117","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",3696953,"55",5364,"","55"
"119","",test,"",box,"",What did you do during the break? (optional),word,"","","","",4000411,None,2564,"",""
"131","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",4039092,"83",2293,"","83"
"133","",test,"",box,"",What did you do during the break? (optional),word,"","","","",4344977,Watched res,4834,"",""
"140","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",4373294,"58",2313,"","58"
"142","",test,"",box,"",What did you do during the break? (optional),word,"","","","",4680012,Watched reels,5624,"",""
"154","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",4718359,"61",2606,"","61"
"156","",test,"",box,"",What did you do during the break? (optional),word,"","","","",5029621,Smoke,10474,"",""
"163","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",5052740,"66",2715,"","66"
"165","",test,"",box,"",What did you do during the break? (optional),word,"","","","",5356634,None,3031,"",""
"177","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",5392639,"70",2152,"","70"
"179","",test,"",box,"",What did you do during the break? (optional),word,"","","","",5698819,Watched reels,5286,"",""
"186","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",5722488,"64",2337,"","64"
"188","",test,"",box,"",What did you do during the break? (optional),word,"","","","",6026930,None,3471,"",""
"200","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",6064935,"66",2252,"","66"
"202","",test,"",box,"",What did you do during the break? (optional),word,"","","","",6381399,Watched reels,10406,"",""
"209","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",6405135,"63",2216,"","63"
"211","",test,"",box,"",What did you do during the break? (optional),word,"","","","",6723653,None,3406,"",""
"223","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",6761088,"67",2309,"","67"
"225","",test,"",box,"",What did you do during the break? (optional),word,"","","","",7068759,Smoked,6751,"",""
"232","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",7098451,"68",5150,"","68"
