browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,mindsCode,batchID,participant,batch_id,link,duration_s
Chrome,153.0.0.0,1440,900,Windows,pt-BR,2026-09-15_19:34:18,2026-09-15_16:34:18,2026-09-15_17:52:16,M818641,TYYZGZ-02,M818641,TYYZGZ-02,https://www.testable.org/experiment/21489/996939/start?participant=M818641&batch_id=TYYZGZ-02,8060.482

rowNo,label,type,head,responseType,pageBreak,stim1,stimFormat,responseOptions,if,then,required,timestamp,response,RT,RTkeys,responseCode
"2",Q1,test,"",box,before,Preliminary question 1/2 <br> What is your age in years?,word,"pattern:""[0-9]+""",response < 30,screenout,"",13730,"44",8425,5051;5209,""
"3",Q2,test,Preliminary question 2/2,box,before,Preliminary question 2/2 <br> How many cigarettes do you smoke per day?,word,"pattern:""[0-9]+""",response < 10,screenout,"",21729,"20",7988,5981;6869,""
"16","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",353029,"69",40422,"","69"
"18","",test,"",box,"",What did you do during the break? (optional),word,"","","","",804063,I waited for the timer.,150049,82890;83721;85825;86073;86801;87641;87913;88153;89377;90689;90921;91713;92673;93545;93825;94297;94449;94937;95233;95489;95977;96201;97977,""
"25","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",923052,"69",5265,"","69"
"27","",test,"",box,"",What did you do during the break? (optional),word,"","","","",1289976,I waited for the the to finish,66225,45906;46281;46993;49025;49401;49793;49969;50233;51697;52713;52961;53417;54865;55905;56065;56561;57569;58681;59089;59649;59937;60465;60673;60889;62697;63033;63369;63865;64441;65153,""
"39","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",1356958,"69",5162,"","69"
"41","",test,"",box,"",What did you do during the break? (optional),word,"","","","",1693706,I waited for the timer to finish,35750,13150;13558;17534;18278;18654;20390;20685;20950;21766;22566;22806;23502;25422;25862;25997;26446;27085;27926;28117;28413;29182;29462;30318;31398;31661;31869;32461;32717;33013;33333;34029;34317,""
"48","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",1861632,"76",14671,"","76"
"50","",test,"",box,"",What did you do during the break? (optional),word,"","","","",2209251,I waited,46886,9143;9590;9902;10383;10590;10790;40462;40622;44646;45190,""
"62","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",2254850,"76",10180,"","76"
"71","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",2670460,"80",10179,"","80"
"73","",test,"",box,"",What did you do during the break? (optional),word,"","","","",2983904,I got a coffee,12746,3187;4130;5226;5434;5866;6850;7018;7402;7538;9554;9938;10306;10466;10754;10914,""
"85","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",3032159,"88",12514,"","88"
"87","",test,"",box,"",What did you do during the break? (optional),word,"","","","",3341987,I waited,9229,3998;4764;5484;5869;6181;7413;7884;8140;8333,""
