browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,mindsCode,batchID,participant,batch_id,link,duration_s
Chrome,153.0.0.0,412,919,Android,en-GB,2026-09-15_19:51:11,2026-09-15_21:51:11,2026-09-15_17:52:16,M753797,TYYZGZ-02,M753797,TYYZGZ-02,https://www.testable.org/experiment/21489/996939/start?participant=M753797&batch_id=TYYZGZ-02,7366.037

rowNo,label,type,head,responseType,pageBreak,stim1,stimFormat,responseOptions,if,then,required,timestamp,response,RT,RTkeys,responseCode
"2",Q1,test,"",box,before,Preliminary question 1/2 <br> What is your age in years?,word,"pattern:""[0-9]+""",response < 30,screenout,"",16930,"38",11537,"",""
"3",Q2,test,Preliminary question 2/2,box,before,Preliminary question 2/2 <br> How many cigarettes do you smoke per day?,word,"pattern:""[0-9]+""",response < 10,screenout,"",22877,"10",5909,"",""
"16","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",114748,"10",6181,"","10"
"18","",test,"",box,"",What did you do during the break? (optional),word,"","","","",431456,Read book,15673,"",""
"25","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",460005,"20",12007,"","20"
"27","",test,"",box,"",What did you do during the break? (optional),word,"","","","",771724,Read book,10874,"",""
"39","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",834505,"45",15072,"","45"
"41","",test,"",box,"",What did you do during the break? (optional),word,"","","","",1169278,Youtube on Desktop,34106,9350;16085;17013,""
"48","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",1204213,"44",5129,"","44"
"50","",test,"",box,"",What did you do during the break? (optional),word,"","","","",1513335,Watching YouTube,8284,"",""
"62","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",1566295,"50",8659,"","50"
"71","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",2025207,"44",3747,"","44"
"73","",test,"",box,"",What did you do during the break? (optional),word,"","","","",2339625,Read book,13835,"",""
"85","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",2380708,"57",7815,"","57"
"87","",test,"",box,"",What did you do during the break? (optional),word,"","","","",2701354,Reading book,19663,"",""
"94","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",2721477,"50",4524,"","50"
"96","",test,"",box,"",What did you do during the break? (optional),word,"","","","",3032222,Reading book,9716,"",""
"108","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",3078551,"45",13593,"","45"
"110","",test,"",box,"",What did you do during the break? (optional),word,"","","","",3411244,Watch a video in my computer,31980,"",""
"117","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",3429500,"50",3338,"","50"
"119","",test,"",box,"",What did you do during the break? (optional),word,"","","","",3739195,Read book again,8780,"",""
"131","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",3779504,"47",2935,"","47"
"133","",test,"",box,"",What did you do during the break? (optional),word,"","","","",4092947,Watch a video in my computer,12364,"",""
"140","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",4117331,"34",7474,"","34"
"142","",test,"",box,"",What did you do during the break? (optional),word,"","","","",4429007,Watching videos,10644,"",""
"154","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",4465751,"42",2656,"","42"
"156","",test,"",box,"",What did you do during the break? (optional),word,"","","","",4797810,Read book again,9237,"",""
"163","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",4815056,"39",3656,"","39"
"165","",test,"",box,"",What did you do during the break? (optional),word,"","","","",5146782,Reading book,10892,"",""
"177","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",5182369,"39",2531,"","39"
"179","",test,"",box,"",What did you do during the break? (optional),word,"","","","",5586285,Read book,8527,"",""
"186","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",5604603,"34",2471,"","34"
"188","",test,"",box,"",What did you do during the break? (optional),word,"","","","",5973016,Watch videos on computer,9912,"",""
"200","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",6007343,"35",2336,"","35"
"202","",test,"",box,"",What did you do during the break? (optional),word,"","","","",6629240,Play a game in my computer,19081,"",""
"209","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",6645887,"36",2366,"","36"
"211","",test,"",box,"",What did you do during the break? (optional),word,"","","","",6988650,Play a game,41970,"",""
"223","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",7024075,"37",2901,"","37"
"225","",test,"",box,"",What did you do during the break? (optional),word,"","","","",7343812,Play a game in my computer,19034,"",""
"232","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",7366037,"56",3308,"","56"
