browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,mindsCode,batchID,participant,batch_id,link,duration_s
Chrome,149.0.0.0,1536,864,UNIX,en-US,2026-09-15_19:41:10,2026-09-15_14:41:10,2026-09-15_17:52:16,M844536,TYYZGZ-02,M844536,TYYZGZ-02,https://www.testable.org/experiment/21489/996939/start?participant=M844536&batch_id=TYYZGZ-02,8072.626

rowNo,label,type,head,responseType,pageBreak,stim1,stimFormat,responseOptions,if,then,required,timestamp,response,RT,RTkeys,responseCode
"2",Q1,test,"",box,before,Preliminary question 1/2 <br> What is your age in years?,word,"pattern:""[0-9]+""",response < 30,screenout,"",87822,"33",6930,4732;5018,""
"3",Q2,test,Preliminary question 2/2,box,before,Preliminary question 2/2 <br> How many cigarettes do you smoke per day?,word,"pattern:""[0-9]+""",response < 10,screenout,"",96976,"10",9138,8048;8155,""
"16","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",172781,"55",13358,"","55"
"18","",test,"",box,"",What did you do during the break? (optional),word,"","","","",485148,scrolled social media,11434,6920;7079;7435;7594;7847;7977;8099;8295;8485;8646;8806;8902;9067;9278;9428;9655;9845;9968;10145;10266;10430,""
"25","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",519150,"60",11811,"","60"
"27","",test,"",box,"",What did you do during the break? (optional),word,"","","","",833102,Read job listings,13014,5212;5334;5647;5805;7624;7801;8040;8318;8786;8931;9215;9524;9673;9972;10066;10465;10559;10698;10882;11786,""
"39","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",875805,"30",8066,"","30"
"41","",test,"",box,"",What did you do during the break? (optional),word,"","","","",1186437,filled out a job application,9858,2931;3129;3446;3577;3702;3925;4085;4313;4541;4676;4926;5118;5257;5452;5715;5881;6166;6293;6663;6878;7298;7949;8235;8358;8685;8816;8910;9075,""
"48","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",1209529,"40",6823,"","40"
"50","",test,"",box,"",What did you do during the break? (optional),word,"","","","",1556122,filled out another job application,11631,2307;2403;2698;2831;2940;3132;3281;3503;3663;3827;4031;4317;4582;4918;5053;6846;7002;7324;7452;7620;7735;7908;8130;8382;8570;8833;9074;9363;9488;9646;9912;10064;10186;10519;10604;10715;10886,""
"62","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",1596294,"75",6612,"","75"
"71","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",1935205,"85",7662,"","85"
"73","",test,"",box,"",What did you do during the break? (optional),word,"","","","",2310989,read a job listing,7441,3223;3274;3567;3906;4126;4351;4528;4759;5023;5228;5558;5800;6015;6129;6374;6532;6675;6858,""
"85","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",2352553,"81",6933,"","81"
"87","",test,"",box,"",What did you do during the break? (optional),word,"","","","",2729846,more job apps,7424,3261;3438;4622;4743;4925;5289;5445;5715;5928;6170;6587;6723;6854,""
"94","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",2751248,"69",5585,"","69"
"96","",test,"",box,"",What did you do during the break? (optional),word,"","","","",3241417,more job stuff,45645,42762;42863;43047;43136;43240;43523;43737;43971;44371;44565;44888;45004;45182;45337,""
"108","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",3279281,"76",5625,"","76"
"110","",test,"",box,"",What did you do during the break? (optional),word,"","","","",3609820,worked on a cover letter for a job,12598,4946;5211;5440;5625;5773;5977;6125;6333;6481;6690;6869;6992;7297;7540;7842;8076;8208;8390;8628;8747;8966;9110;9291;9406;9599;9726;9841;9939;10090;10290;10448;10816;10972;11382,""
"117","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",3637689,"84",6982,"","84"
"119","",test,"",box,"",What did you do during the break? (optional),word,"","","","",3972288,more cover letter,12578,3404;8090;8294;9811;9881;10077;10361;10534;10644;10850;10961;11144;11352;11491;11736;11882;12037;12162,""
"131","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",4011916,"76",4964,"","76"
"133","",test,"",box,"",What did you do during the break? (optional),word,"","","","",4459493,still on that cover letter,8991,3177;3505;3663;3924;4060;4292;4505;4625;4831;5012;5154;5260;5463;5621;6092;6298;6421;6654;6754;6916;7126;7294;7574;7712;7844;7988,""
"140","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",4492729,"84",6302,"","84"
"142","",test,"",box,"",What did you do during the break? (optional),word,"","","","",5125652,more job stuff,7001,2680;2845;3187;3403;3819;4153;4293;4530;4776;5155;5518;5852;6219;6347,""
"154","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",5169123,"61",3895,"","61"
"156","",test,"",box,"",What did you do during the break? (optional),word,"","","","",5487112,same,17113,16041;16130;16368;16546,""
"163","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",5508615,"43",4645,"","43"
