browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,mindsCode,batchID,participant,batch_id,link,duration_s
Chrome,148.0.0.0,1280,720,Windows,es-419,2026-09-15_19:34:13,2026-09-15_13:34:13,2026-09-15_17:52:16,M475448,TYYZGZ-02,M475448,TYYZGZ-02,https://www.testable.org/experiment/21489/996939/start?participant=M475448&batch_id=TYYZGZ-02,9401.689

rowNo,label,type,head,responseType,pageBreak,stim1,stimFormat,responseOptions,if,then,required,timestamp,response,RT,RTkeys,responseCode
"2",Q1,test,"",box,before,Preliminary question 1/2 <br> What is your age in years?,word,"pattern:""[0-9]+""",response < 30,screenout,"",39412,"56",32708,12090;12189,""
"3",Q2,test,Preliminary question 2/2,box,before,Preliminary question 2/2 <br> How many cigarettes do you smoke per day?,word,"pattern:""[0-9]+""",response < 10,screenout,"",55259,"10",15837,7231;14122;14243,""
"16","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",212504,"80",22832,"","80"
"18","",test,"",box,"",What did you do during the break? (optional),word,"","","","",579983,I finished document I had pending,66571,43719;43941;44642;44845;45010;45167;45593;45902;46038;46250;46367;47155;47329;47428;47592;47820;47979;48100;48285;48471;49291;49515;55072;55958;56050;56260;57136;57261;57436;63631;63822;64006;65144,""
"25","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",814599,"60",24567,"","60"
"27","",test,"",box,"",What did you do during the break? (optional),word,"","","","",1147782,Browse the internet,32643,25288;25818;25984;26689;26899;27091;27242;27603;27854;27979;28131;28348;28516;29419;29521;29652;30155;30538;30646,""
"39","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",1258912,"78",22213,"","78"
"41","",test,"",box,"",What did you do during the break? (optional),word,"","","","",1622849,I am looking online for some articles I need,63223,32803;33073;33285;33406;33590;34101;34290;34775;35172;35398;36047;36166;36235;43147;43348;43561;43766;44048;44196;44293;44576;44720;44846;44974;45663;45798;45999;46127;46245;54875;55024;55190;56121;56311;56432;56642;56907;57047;57515;57829;58168;58399;58605;58798,""
"48","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",1839548,"79",6837,"","79"
"50","",test,"",box,"",What did you do during the break? (optional),word,"","","","",2202413,Keep looking for the spare part,60609,25943;26371;26544;26739;26949;27634;28214;28372;28577;28750;29261;29367;40668;40892;41475;41634;41750;42155;42420;42547;42679;43338;43511;43837;44007;44184;50986;51351;51524;51745;51904;57228,""
"62","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",2281488,"90",8175,"","90"
"71","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",2875727,"70",8604,"","70"
"73","",test,"",box,"",What did you do during the break? (optional),word,"","","","",3238048,Just finishing up my shopping,47852,25057;25388;25490;25613;25866;26570;26765;26977;27141;27940;28068;34069;34280;34430;34539;34981;35386;35583;39307;39495;39685;40061;40331;40927;41312;41480;41702;42271;42377,""
"85","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",3302714,"80",5391,"","80"
"87","",test,"",box,"",What did you do during the break? (optional),word,"","","","",3667471,I sent a few messages on Whatsapp,63932,25991;26204;26447;26642;26817;27082;27216;30418;30555;30919;31188;31406;31551;35433;35568;36010;36172;36403;36696;37550;37839;38094;43665;46483;46657;46842;47739;48665;48819;48934;49586;50116;50399;50565;57668,""
"94","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",3897094,"90",7482,"","90"
"96","",test,"",box,"",What did you do during the break? (optional),word,"","","","",4242706,I'm placing the order for the part I need,44798,4608;5034;5215;5415;9690;9691;12528;14116;18296;18475;18510;18889;19085;19568;19708;19800;22807;23028;23144;23261;23566;23683;23919;24128;24280;24455;27885;28116;28275;28413;28688;28942;29066;29182;29471;29625;30897;31042;31292;35093;35318;35589;35963;36148;36367,""
"108","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",4304604,"50",11171,"","50"
"110","",test,"",box,"",What did you do during the break? (optional),word,"","","","",4692311,I made myself a cofee,52680,24992;25242;28063;28204;28433;28585;28837;31851;32329;32682;32924;33681;34087;37827;38019;38176;38718;38868;39264;39701;39873;40060,""
"117","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",4870436,"80",6559,"","80"
"119","",test,"",box,"",What did you do during the break? (optional),word,"","","","",5220632,Having my coffee with a piece of bread,48137,1794;2184;2566;2806;3559;3834;3962;4072;6859;7324;7436;7558;8031;8267;8445;8888;9030;9455;9629;10111;10323;11182;11644;11883;11993;25186;28161;32062;32237;32588;32807;33378;33558;33646;33800;37873;38003;38162;42382;43044;43181;43315;43422,""
"131","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",5302340,"78",5602,"","78"
