browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,mindsCode,batchID,participant,batch_id,link,duration_s
Chrome,128.0.0.0,1920,1080,MacOS,tr-TR,2026-09-15_21:36:11,2026-09-16_00:36:11,2026-09-15_17:52:16,M792574,TYYZGZ-02,M792574,TYYZGZ-02,https://www.testable.org/experiment/21489/996939/start?participant=M792574&batch_id=TYYZGZ-02,2342.307

rowNo,label,type,head,responseType,pageBreak,stim1,stimFormat,responseOptions,if,then,required,timestamp,response,responseText,RT,RTkeys,responseCode
"2",Q1,test,"",box,before,Preliminary question 1/2 <br> What is your age in years?,word,"pattern:""[0-9]+""",response < 30,screenout,"",30595,"37","",19838,3504;3808,""
"3",Q2,test,Preliminary question 2/2,box,before,Preliminary question 2/2 <br> How many cigarettes do you smoke per day?,word,"pattern:""[0-9]+""",response < 10,screenout,"",33723,"18","",3112,2169;2402,""
"16","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",79747,"62","",5105,"","62"
16_2,"",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",148551,"62","",68798,"","62"
"18","",test,"",box,"",What did you do during the break? (optional),word,"","","","",585833,N/A,"",113007,3875;5644;111531;111811;111906,""
"25","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",616668,"62","",2499,"","62"
"27","",test,"",box,"",What did you do during the break? (optional),word,"","","","",733916,"","",23667,"",""
"39","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",777486,"62","",2197,"","62"
"41","",test,"",box,"",What did you do during the break? (optional),word,"","","","",805453,;2,Right match,19976,"",""
"48","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",818588,"64","",3469,"","64"
"50","",test,"",box,"",What did you do during the break? (optional),word,"","","","",854704,N/A,"",22304,2812;19536;20749;21044;21172,""
"62","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",913905,"67","",2353,"","67"
"71","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",972649,"76","",2564,"","76"
"73","",test,"",box,"",What did you do during the break? (optional),word,"","","","",1333749,I went to the toilet,"",59586,20025;20241;20449;20625;20745;20929;21329;21491;21616;21858;22025;22258;22329;22475;22625;22744;23226;23610;23728;23859;24811;24994;34656;34825;35008;46273;47410;57969,""
"85","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",1374440,"77","",2978,"","77"
"87","",test,"",box,"",What did you do during the break? (optional),word,"","","","",1388803,N/A,"",3621,2310;2593;2710,""
"94","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",1431122,"77","",2334,"","77"
"96","",test,"",box,"",What did you do during the break? (optional),word,"","","","",1444331,N/A,"",4046,2590;2983;3086,""
"108","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",1482775,"74","",2196,"","74"
"110","",test,"",box,"",What did you do during the break? (optional),word,"","","","",1587547,N/A,"",3133,1733;2029;2109,""
"117","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",1626997,"80","",2916,"","80"
"119","",test,"",box,"",What did you do during the break? (optional),word,"","","","",1635755,N/A,"",2857,1601;1921;2041,""
"131","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",1677919,"78","",2185,"","78"
"133","",test,"",box,"",What did you do during the break? (optional),word,"","","","",1722875,N/A,"",3031,1872;2128;2224,""
