browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,mindsCode,batchID,participant,batch_id,link,duration_s
Chrome,152.0.0.0,1536,864,Windows,en-IN,2026-09-15_20:15:10,2026-09-15_16:15:10,2026-09-15_17:52:16,M620446,TYYZGZ-02,M620446,TYYZGZ-02,https://www.testable.org/experiment/21489/996939/start?participant=M620446&batch_id=TYYZGZ-02,8228.791

rowNo,label,type,head,responseType,pageBreak,stim1,stimFormat,responseOptions,if,then,required,timestamp,response,RT,RTkeys,responseCode
"2",Q1,test,"",box,before,Preliminary question 1/2 <br> What is your age in years?,word,"pattern:""[0-9]+""",response < 30,screenout,"",80537,"31",76475,72703;75829,""
"3",Q2,test,Preliminary question 2/2,box,before,Preliminary question 2/2 <br> How many cigarettes do you smoke per day?,word,"pattern:""[0-9]+""",response < 10,screenout,"",85488,"12",4939,3608;3988,""
"16","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",174274,"80",7440,"","80"
"18","",test,"",box,"",What did you do during the break? (optional),word,"","","","",505052,coffee,9713,4331;4473;5130;5274;6714;6869,""
"25","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",552212,"70",10392,"","70"
"27","",test,"",box,"",What did you do during the break? (optional),word,"","","","",862388,coffee,9206,3105;3251;4016;4751;5351;5494;7240,""
"39","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",923219,"60",8314,"","60"
"41","",test,"",box,"",What did you do during the break? (optional),word,"","","","",1269696,instagram,7772,2242;2459;2822;2961;3255;4236;4453;4586;5466,""
"48","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",1296728,"60",5363,"","60"
"50","",test,"",box,"",What did you do during the break? (optional),word,"","","","",1612787,instagram,4440,1911;2107;2319;2517;2658;3041;3282;3427;4104,""
"62","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",1654206,"50",5759,"","50"
"71","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",2000296,"50",5953,"","50"
"73","",test,"",box,"",What did you do during the break? (optional),word,"","","","",2356653,facebook,6772,2145;3319;3955;4085;4579;5121;5252;5571,""
"85","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",2394701,"51",5552,"","51"
"87","",test,"",box,"",What did you do during the break? (optional),word,"","","","",2747927,facebook,4555,2431;2567;2726;2924;3325;3871;4039;4259,""
"94","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",2771667,"41",6375,"","41"
"96","",test,"",box,"",What did you do during the break? (optional),word,"","","","",3149077,facebook,4245,2408;2534;2656;2818;3107;3514;3671;3886,""
"108","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",3187104,"50",3522,"","50"
"110","",test,"",box,"",What did you do during the break? (optional),word,"","","","",3542180,facebook,4621,2630;2775;2908;3106;3611;3935;4090;4318,""
"117","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",3570916,"59",3878,"","59"
"119","",test,"",box,"",What did you do during the break? (optional),word,"","","","",3935252,facebook,4486,2201;2444;2596;2896;3365;3865;4011;4195,""
"131","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",4028764,"40",4594,"","40"
"133","",test,"",box,"",What did you do during the break? (optional),word,"","","","",4394230,call,4653,3048;3193;3615;3767,""
"140","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",4421699,"22",5566,"","22"
"142","",test,"",box,"",What did you do during the break? (optional),word,"","","","",4732800,call,3628,2205;2362;2818;2969,""
"154","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",4772365,"21",3068,"","21"
"156","",test,"",box,"",What did you do during the break? (optional),word,"","","","",5119659,call,2911,1874;2028;2495;2622,""
"163","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",5137814,"10",3840,"","10"
"165","",test,"",box,"",What did you do during the break? (optional),word,"","","","",6137314,call,3847,2870;3015;3455;3583,""
"177","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",6187703,"14",3313,"","14"
"179","",test,"",box,"",What did you do during the break? (optional),word,"","","","",6507980,call,19553,18530;18663;19112;19267,""
"186","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",6547547,"12",3884,"","12"
"188","",test,"",box,"",What did you do during the break? (optional),word,"","","","",6863270,call,14968,13236;13337;13991;14144,""
"200","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",6909513,"21",3790,"","21"
"202","",test,"",box,"",What did you do during the break? (optional),word,"","","","",7213710,call,3665,2168;2286;2785;2934,""
"209","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",7440029,"20",3961,"","20"
"211","",test,"",box,"",What did you do during the break? (optional),word,"","","","",7834649,facebook,4661,2806;2933;3028;3245;3579;4047;4173;4360,""
"223","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",7874461,"6",3214,"","6"
"225","",test,"",box,"",What did you do during the break? (optional),word,"","","","",8214900,eating,4716,2857;3063;3475;3666;3903;4179,""
"232","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",8228791,"32",3010,"","32"
