browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,mindsCode,batchID,participant,batch_id,link,duration_s
Chrome,152.0.0.0,1920,1080,Windows,es-AR,2026-09-15_20:32:45,2026-09-15_17:32:45,2026-09-15_17:52:16,M487126,TYYZGZ-02,M487126,TYYZGZ-02,https://www.testable.org/experiment/21489/996939/start?participant=M487126&batch_id=TYYZGZ-02,7520.144

rowNo,label,type,head,responseType,pageBreak,stim1,stimFormat,responseOptions,if,then,required,timestamp,response,RT,RTkeys,responseCode
"2",Q1,test,"",box,before,Preliminary question 1/2 <br> What is your age in years?,word,"pattern:""[0-9]+""",response < 30,screenout,"",13328,"36",7749,5022;5205,""
"3",Q2,test,Preliminary question 2/2,box,before,Preliminary question 2/2 <br> How many cigarettes do you smoke per day?,word,"pattern:""[0-9]+""",response < 10,screenout,"",18579,"20",5245,4313;4507,""
"16","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",139919,"80",38784,"","80"
"18","",test,"",box,"",What did you do during the break? (optional),word,"","","","",483746,just wait,43271,5832;22106;37822;37981;38018;38239;38731;41651;41798;41941;42048,""
"25","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",571274,"90",19273,"","90"
"27","",test,"",box,"",What did you do during the break? (optional),word,"","","","",893840,I smoked one cigarette,21911,4211;4412;4904;4971;5095;5471;5540;5706;6476;12388;12557;12673;13375;13553;13632;13783;13899;13987;14396;14582;14732;14912;15117;15235;15401;20250,""
"39","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",958084,"70",5281,"","70"
"41","",test,"",box,"",What did you do during the break? (optional),word,"","","","",1285470,i lay down in bed,26443,10344;10508;10704;10753;10954;15664;15802;16110;16246;16486;16610;20089;20276;20660;20857;21002;21157;21379,""
"48","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",1379478,"80",4650,"","80"
"50","",test,"",box,"",What did you do during the break? (optional),word,"","","","",1706380,i smoked another cigarrete,25894,17095;17329;17457;17509;17691;17912;17913;17974;18557;18701;22291;22380;22448;22673;22788;22872;23000;23156;23791;23997;24074;24225;24386;24556;24684;24824;24979;25123,""
"62","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",1760664,"70",5086,"","70"
"71","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",2186447,"60",4371,"","60"
"73","",test,"",box,"",What did you do during the break? (optional),word,"","","","",2524280,just wait,4335,1990;2149;2216;2438;2561;2766;2927;3060;3185,""
"85","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",2568348,"80",4928,"","80"
"87","",test,"",box,"",What did you do during the break? (optional),word,"","","","",2898238,I smoked a cigarette,13950,2133;2612;2690;2842;3019;3216;3317;3768;3993;4054;4160;4292;4398;4493;4678;5418;5616;5774;5913;6097;6421;6622,""
"94","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",2954799,"60",7516,"","60"
"96","",test,"",box,"",What did you do during the break? (optional),word,"","","","",3259053,just wait,3417,1872;2028;2104;2293;2397;2552;2723;2844;2942,""
"108","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",3301329,"75",6981,"","75"
"110","",test,"",box,"",What did you do during the break? (optional),word,"","","","",3639322,I smoked a cigarette,20784,15181;15512;15670;15895;16012;16212;16212;16280;16896;17085;17737;17850;17942;18091;18162;18294;18445;18608;19091;19273;19412;19554,""
"117","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",3685613,"60",4914,"","60"
"119","",test,"",box,"",What did you do during the break? (optional),word,"","","","",3994598,just wait,4420,1170;1324;1349;1577;1729;1889;2056;2232;2359,""
"131","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",4049110,"80",12657,"","80"
"133","",test,"",box,"",What did you do during the break? (optional),word,"","","","",4376003,just wait,15212,4061;4222;4278;5774;5977;6040;6243;6376;6553;6809;7021;7569;7644;13074;13279;13454;13541,""
