browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,mindsCode,batchID,participant,batch_id,link,duration_s
Chrome,152.0.0.0,1920,1080,Windows,en,2026-09-15_22:28:49,2026-09-15_23:28:49,2026-09-15_17:52:16,M373447,TYYZGZ-02,M373447,TYYZGZ-02,https://www.testable.org/experiment/21489/996939/start?participant=M373447&batch_id=TYYZGZ-02,6551.2

rowNo,label,type,head,responseType,pageBreak,stim1,stimFormat,responseOptions,if,then,required,timestamp,response,RT,RTkeys,responseCode
"2",Q1,test,"",box,before,Preliminary question 1/2 <br> What is your age in years?,word,"pattern:""[0-9]+""",response < 30,screenout,"",8180,"36",3997,3011;3209,""
"3",Q2,test,Preliminary question 2/2,box,before,Preliminary question 2/2 <br> How many cigarettes do you smoke per day?,word,"pattern:""[0-9]+""",response < 10,screenout,"",10334,"20",2140,1446;1623,""
"16","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",70498,"61",6898,"","61"
"18","",test,"",box,"",What did you do during the break? (optional),word,"","","","",377407,Watch TV,5259,2351;2787;3032;3174;3369;3538;3840;4035,""
"25","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",398440,"61",4819,"","61"
"27","",test,"",box,"",What did you do during the break? (optional),word,"","","","",705052,watched TV,6027,2080;2416;2736;2936;3148;3313;3453;4196;4942;5178,""
"39","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",743737,"50",5082,"","50"
"41","",test,"",box,"",What did you do during the break? (optional),word,"","","","",1070541,watched TV,26254,22424;22773;23039;23189;23422;23722;23931;24089;24972;25295,""
"48","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",1094421,"40",5749,"","40"
"50","",test,"",box,"",What did you do during the break? (optional),word,"","","","",1402136,watching tv,7195,2347;3394;3760;4193;4476;4960;5353;5561;5794;6010;6357,""
"62","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",1441202,"40",3517,"","40"
"71","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",1776291,"35",3787,"","35"
"73","",test,"",box,"",What did you do during the break? (optional),word,"","","","",2083868,watching tv,6658,1835;2051;2652;3023;3528;3934;4359;4692;4942;5258;5558,""
"85","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",2129228,"34",3658,"","34"
"87","",test,"",box,"",What did you do during the break? (optional),word,"","","","",2435374,Watching TV,5427,1626;1939;2619;2769;2977;3211;3427;3543;3677;4459;4676,""
"94","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",2455926,"39",3809,"","39"
"96","",test,"",box,"",What did you do during the break? (optional),word,"","","","",2761867,Watching TV,5391,1519;1891;2165;2316;2563;2758;2948;3068;3175;3817;4024;4026,""
"108","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",2803595,"38",3185,"","38"
"110","",test,"",box,"",What did you do during the break? (optional),word,"","","","",3111868,Watching TV,7253,1921;2409;2884;3193;3693;3961;4206;4469;4706;5835;6210,""
"117","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",3130870,"32",3152,"","32"
"119","",test,"",box,"",What did you do during the break? (optional),word,"","","","",3437622,Watching TV,6177,1613;1984;2244;2392;2635;2853;3075;3241;3334;4231;4461;4463,""
"131","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",3476490,"32",3075,"","32"
"133","",test,"",box,"",What did you do during the break? (optional),word,"","","","",3782010,Watching TV,4991,1560;1843;2328;2625;2911;3142;3342;3453;3588;3990;4208,""
"140","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",3810494,"31",5672,"","31"
"142","",test,"",box,"",What did you do during the break? (optional),word,"","","","",4115997,Watching TV,4822,1629;1994;2258;2426;2631;2845;3005;3094;3192;3846;4055,""
"154","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",4153174,"44",3836,"","44"
"156","",test,"",box,"",What did you do during the break? (optional),word,"","","","",4469953,Watching TV,16207,11793;12305;12687;12942;13600;14058;14341;14500;14625;15125;15323,""
"163","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",4492436,"42",3328,"","42"
"165","",test,"",box,"",What did you do during the break? (optional),word,"","","","",4800868,Watching TV,7583,4178;4561;4797;5042;5293;5526;5760;5892;6020;6412;6626,""
"177","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",4842229,"34",4009,"","34"
"179","",test,"",box,"",What did you do during the break? (optional),word,"","","","",5161887,Watching TV,18761,11539;11922;12194;12338;12662;12906;13131;13268;13406;13767;13985,""
