browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,mindsCode,batchID,participant,batch_id,link,duration_s
Chrome,153.0.0.0,360,820,Android,pt-BR,2026-09-15_23:48:46,2026-09-15_20:48:46,2026-09-15_17:52:16,M537979,TYYZGZ-02,M537979,TYYZGZ-02,https://www.testable.org/experiment/21489/996939/start?participant=M537979&batch_id=TYYZGZ-02,6991.753

rowNo,label,type,head,responseType,pageBreak,stim1,stimFormat,responseOptions,if,then,required,timestamp,response,RT,RTkeys,responseCode
"2",Q1,test,"",box,before,Preliminary question 1/2 <br> What is your age in years?,word,"pattern:""[0-9]+""",response < 30,screenout,"",16864,"42",8119,"",""
"3",Q2,test,Preliminary question 2/2,box,before,Preliminary question 2/2 <br> How many cigarettes do you smoke per day?,word,"pattern:""[0-9]+""",response < 10,screenout,"",25130,"12",8223,"",""
"16","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",72216,"72",5213,"","72"
"18","",test,"",box,"",What did you do during the break? (optional),word,"","","","",433460,Watching tv,60349,"",""
"25","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",467484,"71",5395,"","71"
"27","",test,"",box,"",What did you do during the break? (optional),word,"","","","",788010,I go in the bathroom,19816,"",""
"39","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",833716,"85",5423,"","85"
"41","",test,"",box,"",What did you do during the break? (optional),word,"","","","",1214349,I smoked one cigarrette,79497,"",""
"48","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",1231644,"100",3918,"","100"
"50","",test,"",box,"",What did you do during the break? (optional),word,"","","","",1548796,I smoked one cigarrette again,16370,"",""
"62","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",1594128,"95",5974,"","95"
"71","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",1958517,"97",4085,"","97"
"73","",test,"",box,"",What did you do during the break? (optional),word,"","","","",2289902,Smoked cigarrette,30511,"",""
"85","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",2337360,"72",7162,"","72"
"87","",test,"",box,"",What did you do during the break? (optional),word,"","","","",2668802,I drinking coffee,30809,"",""
"94","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",2716352,"99",4283,"","99"
"96","",test,"",box,"",What did you do during the break? (optional),word,"","","","",2991044,I smoked one cigarrette and drinking coffee,23489,"",""
"108","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",3034179,"92",6730,"","92"
"110","",test,"",box,"",What did you do during the break? (optional),word,"","","","",3347327,Drinked one juice,39384,"",""
"117","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",3402253,"100",4698,"","100"
"119","",test,"",box,"",What did you do during the break? (optional),word,"","","","",3672771,Drinked juice,25828,"",""
"131","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",3716490,"87",5023,"","87"
"133","",test,"",box,"",What did you do during the break? (optional),word,"","","","",4043314,Nothing,26128,"",""
"140","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",4085706,"60",5707,"","60"
"142","",test,"",box,"",What did you do during the break? (optional),word,"","","","",4410004,I maked one sandwish,42109,"",""
"154","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",4454522,"46",6625,"","46"
"156","",test,"",box,"",What did you do during the break? (optional),word,"","","","",4781225,I watching one movie,26116,"",""
"163","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",4833845,"38",5072,"","38"
"165","",test,"",box,"",What did you do during the break? (optional),word,"","","","",5155331,Drinking coffee,20892,"",""
"177","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",5195624,"77",4248,"","77"
"179","",test,"",box,"",What did you do during the break? (optional),word,"","","","",5458876,Lying down,49726,"37227",""
"186","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",5496337,"40",3997,"","40"
"188","",test,"",box,"",What did you do during the break? (optional),word,"","","","",5841676,I see my telephone,46744,"",""
"200","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",5884046,"40",4035,"","40"
"202","",test,"",box,"",What did you do during the break? (optional),word,"","","","",6219536,Nothing,49701,"",""
"209","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",6264241,"35",8472,"","35"
"211","",test,"",box,"",What did you do during the break? (optional),word,"","","","",6609464,Drinking coffee and milk,44455,"",""
"223","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",6650107,"29",4506,"","29"
"225","",test,"",box,"",What did you do during the break? (optional),word,"","","","",6957878,Nothing,7009,"",""
"232","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",6991753,"20",3851,"","20"
