browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,mindsCode,batchID,participant,batch_id,link,duration_s
Safari,"17.6",1440,900,MacOS,en-US,2026-09-16_00:06:22,2026-09-15_19:06:22,2026-09-15_17:52:16,M795392,TYYZGZ-02,M795392,TYYZGZ-02,https://www.testable.org/experiment/21489/996939/start?participant=M795392&batch_id=TYYZGZ-02,6984.784

rowNo,label,type,head,responseType,pageBreak,stim1,stimFormat,responseOptions,if,then,required,timestamp,response,RT,RTkeys,responseCode
"2",Q1,test,"",box,before,Preliminary question 1/2 <br> What is your age in years?,word,"pattern:""[0-9]+""",response < 30,screenout,"",74839,"42",68488,4188;4395,""
"3",Q2,test,Preliminary question 2/2,box,before,Preliminary question 2/2 <br> How many cigarettes do you smoke per day?,word,"pattern:""[0-9]+""",response < 10,screenout,"",97014,"12",22148,178;2321;20222;20513,""
"16","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",154600,"90",6901,"","90"
"18","",test,"",box,"",What did you do during the break? (optional),word,"","","","",485792,heel raises,30541,27633;27803;27993;28129;28365;28554;28838;28965;29112;29361;29555,""
"25","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",509819,"90",6571,"","90"
"27","",test,"",box,"",What did you do during the break? (optional),word,"","","","",817383,heel raises,6777,3400;3768;3909;4569;4834;5138;5555;5668;5884;6310;6556,""
"39","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",883661,"78",6995,"","78"
"41","",test,"",box,"",What did you do during the break? (optional),word,"","","","",1227838,heel raises,43559,40884;41006;41182;41774;41973;42046;42277;42361;42557;42843;43023,""
"48","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",1254770,"77",9362,"","77"
"50","",test,"",box,"",What did you do during the break? (optional),word,"","","","",1571200,heel raises,15861,13254;13406;13626;13754;14036;14242;14584;14754;14886;15135;15332,""
"62","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",1621946,"75",7781,"","75"
"71","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",1950220,"74",8496,"","74"
"73","",test,"",box,"",What did you do during the break? (optional),word,"","","","",2269883,heel raises,19011,15197;15494;15842;16144;16487;16952;17222;17580;17846;18040;18168,""
"85","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",2308994,"72",6795,"","72"
"87","",test,"",box,"",What did you do during the break? (optional),word,"","","","",2633230,heel raises and snack,23237,16017;16342;16502;16913;17228;17647;17920;18452;18779;18989;19162;19494;19852;20224;20510;20801;21092;21421;21735;22101;22448,""
"94","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",2667568,"69",3781,"","69"
"96","",test,"",box,"",What did you do during the break? (optional),word,"","","","",2995255,snacking,27155,23289;23546;23786;24351;24607;24815;25242;25558;26677,""
"108","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",3038776,"70",6913,"","70"
"110","",test,"",box,"",What did you do during the break? (optional),word,"","","","",3345447,snack,6039,3835;4267;4540;4937;5388,""
"117","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",3373450,"69",5331,"","69"
"119","",test,"",box,"",What did you do during the break? (optional),word,"","","","",3726505,heel raises again,52058,45098;45388;45569;46121;46710;47211;47435;47872;48267;48457;48577;50259;50676;50940;51113;51527;51744,""
"131","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",3802762,"70",15432,"","70"
"133","",test,"",box,"",What did you do during the break? (optional),word,"","","","",4122423,heel raises,18710,4776;5007;5166;5458;5789;6195;6426;6772;7045;7245;7377,""
"140","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",4149654,"67",7526,"","67"
"142","",test,"",box,"",What did you do during the break? (optional),word,"","","","",4480487,weights,30254,22653;22810;23232;23459;23702;23950;24163;28073;28671;28937;29200;29430;29643,""
"154","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",4520129,"67",4048,"","67"
"156","",test,"",box,"",What did you do during the break? (optional),word,"","","","",4836306,weights,15165,9379;9563;9890;10134;10276;14261;14503,""
"163","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",4857752,"64",4666,"","64"
"165","",test,"",box,"",What did you do during the break? (optional),word,"","","","",5175893,weights,17345,15071;15232;15681;15903;16095;16321;16529,""
"177","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",5228861,"60",5267,"","60"
"179","",test,"",box,"",What did you do during the break? (optional),word,"","","","",5551054,weights,21447,19076;19263;19669;19886;20031;20210;20499,""
"186","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",5570217,"60",5034,"","60"
"188","",test,"",box,"",What did you do during the break? (optional),word,"","","","",5883777,weights,13029,10808;10978;11361;11624;11787;11967;12111,""
"200","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",5922777,"59",4279,"","59"
"202","",test,"",box,"",What did you do during the break? (optional),word,"","","","",6256892,listening to music,33219,30562;30765;30911;31039;31181;31302;31492;31679;31759;31884;31974;32102;32340;32518;32735;32823;32913;33075,""
"209","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",6276050,"58",3813,"","58"
"211","",test,"",box,"",What did you do during the break? (optional),word,"","","","",6609811,music,32799,30078;30316;30651;31111;31389,""
"223","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",6649143,"59",4496,"","59"
"225","",test,"",box,"",What did you do during the break? (optional),word,"","","","",6968148,music,18277,16241;16453;16716;16851;17021,""
"232","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",6984784,"59",2696,"","59"
