browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,mindsCode,batchID,participant,batch_id,link,duration_s
Chrome,152.0.0.0,1536,864,Windows,en-US,2026-09-16_01:18:46,2026-09-16_09:18:46,2026-09-15_17:52:16,M023167,TYYZGZ-02,M023167,TYYZGZ-02,https://www.testable.org/experiment/21489/996939/start?participant=M023167&batch_id=TYYZGZ-02,7128.795

rowNo,label,type,head,responseType,pageBreak,stim1,stimFormat,responseOptions,if,then,required,timestamp,response,RT,RTkeys,responseCode
"2",Q1,test,"",box,before,Preliminary question 1/2 <br> What is your age in years?,word,"pattern:""[0-9]+""",response < 30,screenout,"",23085,"31",13947,8043;8411,""
"3",Q2,test,Preliminary question 2/2,box,before,Preliminary question 2/2 <br> How many cigarettes do you smoke per day?,word,"pattern:""[0-9]+""",response < 10,screenout,"",33048,"12",9957,8390;8641,""
"16","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",151105,"60",19916,"","60"
"18","",test,"",box,"",What did you do during the break? (optional),word,"","","","",469883,prepare breakfast,18139,6064;6179;6342;6543;6751;7097;7215;7921;8404;8919;9108;9258;10193;10718;10750;10996;11112;14435;14509;14732;14819,""
"25","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",549343,"69",9201,"","69"
"27","",test,"",box,"",What did you do during the break? (optional),word,"","","","",860067,preparing breakfast,9901,4070;4114;4193;4346;4478;4819;5076;5220;5399;5625;5755;6079;6201;6419;6668;7097;7236;7435;7633,""
"39","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",902545,"70",7644,"","70"
"41","",test,"",box,"",What did you do during the break? (optional),word,"","","","",1230135,face wash,26885,9453;9578;9786;9916;11962;12101;12211;12578;12710;17214;17307;17468;17609;18489;18601;18878;19037;20463;23987,""
"48","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",1281533,"66",5391,"","66"
"50","",test,"",box,"",What did you do during the break? (optional),word,"","","","",1607045,went to the restroom,24630,4960;5049;5299;5455;5557;5639;6309;8591;8811;9117;9315;9930;10133;10221;10588;11864;12085;12579;12980;19700;19848;21016;21386,""
"62","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",1656538,"70",12827,"","70"
"71","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",2064669,"72",11310,"","72"
"73","",test,"",box,"",What did you do during the break? (optional),word,"","","","",2393504,restroom,28127,21279;21438;23628;23783;24044;24636;24943;25556;25720;26035,""
"85","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",2436813,"76",8257,"","76"
"87","",test,"",box,"",What did you do during the break? (optional),word,"","","","",2752723,restroom,15208,11309;11477;11689;12211;12481;13047;13197;13491,""
"94","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",2820827,"79",13567,"","79"
"96","",test,"",box,"",What did you do during the break? (optional),word,"","","","",3190392,eating breakfast,68824,54959;55264;59517;59663;59979;64267;64386;64672;64870;64946;65082;65279;65853;66151;66374;66501;66659;67293;67424;67624;67854,""
"108","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",3229464,"75",6607,"","75"
"110","",test,"",box,"",What did you do during the break? (optional),word,"","","","",3537904,breakfast,7747,3869;3982;4116;4231;4485;4777;4925;5121;5385,""
"117","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",3595640,"75",11791,"","75"
"119","",test,"",box,"",What did you do during the break? (optional),word,"","","","",3904273,breakfast,7881,5240;5569;5742;5853;6165;6390;6524;6721;7020,""
"131","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",3953718,"80",17120,"","80"
"133","",test,"",box,"",What did you do during the break? (optional),word,"","","","",4259362,breakfast,4999,2425;2513;2674;2914;3317;3580;3706;3873;4119,""
"140","",form,How strong is your craving to smoke at this moment?,slider,before,"","",0_100_1;50,"","","1",4292570,"80",4418,"","80"
"142","",test,"",box,"",What did you do during the break? (optional),word,"","","","",4623888,watch tiktok,30561,26354;26533;26689;27037;27188;27371;27902;28106;28310;28517;28740;28955,""
